Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,CognitiveComplexity,HalsteadMaintainIdx
Explicit Public Function,"strenc::v4::EncryptedStringV4::EncryptedStringV4",,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,5,1,5,0,0,0,3,0,1,0,0,1,1,,,0,,"0,00",,0,0,"0,00","0,00",0,"0,00"
Public Const Function,"strenc::v4::EncryptedStringV4::data",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,"0,00",,0,0,"0,00","0,00",0,"0,00"
Public Const Function,"strenc::v4::EncryptedStringV4::decrypt",,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,5,21,17,18,0,0,0,5,17,18,14,0,5,4,,,1,,"0,00",,0,0,"0,00","0,00",5,"0,00"
Public Const Function,"strenc::v4::EncryptedStringV4::keys",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,"0,00",,0,0,"0,00","0,00",0,"0,00"
Public Const Function,"strenc::v4::EncryptedStringV4::size",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,"0,00",,0,0,"0,00","0,00",0,"0,00"
Struct Template,"strenc::v4::PolymorphicData",11,1,10,0,2,0,1,0,,0,0,,,,,3,4,0,0,4,3,3,2,0,0,0,3,,42,7,35,22,19,0,0,0,,,28,23,0,5,,4,0,1,58,"0,00",6,,,,,,
Public Function,"strenc::v4::PolymorphicData::PolymorphicData",,,,,,,,,,,,,,,,,,,,,,,,,,,,7,27,4,23,19,17,0,0,0,5,14,19,16,0,3,4,,,1,,"0,00",,0,0,"0,00","0,00",5,"0,00"
Public Const Function,"strenc::v4::PolymorphicData::data",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,"0,00",,0,0,"0,00","0,00",0,"0,00"
Public Const Function,"strenc::v4::PolymorphicData::size",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,"0,00",,0,0,"0,00","0,00",0,"0,00"
Function,"strenc::v4::fnv1a",,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,0,8,4,5,0,0,0,1,6,7,3,0,4,2,,,1,,"0,00",,0,0,"0,00","0,00",1,"0,00"
Function,"test_empty",,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,1,7,1,1,0,0,0,11,4,17,6,0,16,6,,,2,,"0,00",,0,0,"0,00","0,00",7,"0,00"
Lambda Function,"test_empty::[lambda_0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,1,7,1,1,0,0,0,3,4,1,0,0,1,1,,,0,,"0,00",,0,0,"0,00","0,00",0,"0,00"
Function,"test_hello",,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,1,8,1,1,0,0,0,11,4,17,6,0,16,6,,,2,,"0,00",,0,0,"0,00","0,00",7,"0,00"
Lambda Function,"test_hello::[lambda_0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,1,8,1,1,0,0,0,3,4,1,0,0,1,1,,,0,,"0,00",,0,0,"0,00","0,00",0,"0,00"
File,"tests.cpp",8,1,7,0,3,,,,0,,,,,,5,,,,,,,,,,,,,,64,5,34,3,6,20,0,5,,16,43,15,0,38,,6,,2,,"0,59",15,0,0,"0,00","0,00",,"0,00"
